INVOICE_ID,INVOICE_DATE,INVOICE_AMOUNT,AMOUNT_PAID,ATTRIBUTE_CATEGORY,INVOICE_NUM,RECEIVER
2150442,01-AUG-16,300,300,AVANSAS,1-90/46-08,"VIDAS URBONAVIČIUS"
2150443,01-AUG-16,300,300,AVANSAS,1-90/47-08,"ARTŪRAS ZUOKAS"
2150444,01-AUG-16,189.25,189.25,AVANSAS,1-90/49-08,"VALDAS BENKUNSKAS"
2150445,01-AUG-16,120.74,120.74,AVANSAS,1-90/50-08,"LINAS KVEDARAVIČIUS"
2164506,08-AUG-16,68,68,AVANSAS,"VLL 5432","REMIGIJUS ŠIMAŠIUS"
2164507,08-AUG-16,22,22,AVANSAS,K0101074,"REMIGIJUS ŠIMAŠIUS"
2164508,17-AUG-16,22,22,AVANSAS,K0101088,"REMIGIJUS ŠIMAŠIUS"
2164509,17-AUG-16,50.49,50.49,AVANSAS,"T773 00002700","REMIGIJUS ŠIMAŠIUS"
2164510,22-AUG-16,67,67,AVANSAS,"SM/16 304","REMIGIJUS ŠIMAŠIUS"
2164511,22-AUG-16,5.79,5.79,AVANSAS,2016-08-22,"REMIGIJUS ŠIMAŠIUS"
2164512,19-AUG-16,33,33,AVANSAS,"ARR G 14287","REMIGIJUS ŠIMAŠIUS"
2164513,08-AUG-16,145.5,145.5,AVANSAS,SFMA-2962D,"GINTAUTAS PALUCKAS"
2164899,25-AUG-16,300,300,AVANSAS,1-90/3-09,"AUŠRINĖ ARMONAITĖ"
2164915,25-AUG-16,300,300,AVANSAS,1-90/4-09,"RITA BALČIŪNIENĖ"
2164920,25-AUG-16,300,300,AVANSAS,1-90/5-09,"ADOMAS BUŽINSKAS"
2164929,25-AUG-16,300,300,AVANSAS,1-90/6-09,"RENATA CYTACKA"
2164978,25-AUG-16,300,300,AVANSAS,1-90/7-09,"ALGIS ČAPLIKAS"
2164998,25-AUG-16,300,300,AVANSAS,1-90/10-09,"VAIDOTAS ILGIUS"
2165221,25-AUG-16,184.2,184.2,AVANSAS,1-90/11-09,"AUDRONIS IMBRASAS"
2165231,25-AUG-16,300,300,AVANSAS,1-90/12-09,"JUOZAS IMBRASAS"
2165241,25-AUG-16,300,300,AVANSAS,1-90/13-09,"VINCAS JURGUTIS"
2165248,25-AUG-16,300,300,AVANSAS,1-90/14-09,"JAROSLAV KAMINSKI"
2165280,25-AUG-16,300,300,AVANSAS,1-90/15-09,"JUSTINA KAŠĖTAITĖ"
2165299,25-AUG-16,300,300,AVANSAS,1-90/16-09,"ANDRIUS KATINAS"
2165305,25-AUG-16,300,300,AVANSAS,1-90/17-09,"AUKSĖ KONTRIMIENĖ"
2165310,25-AUG-16,300,300,AVANSAS,1-90/18-09,"VAIDAS KUKARĖNAS"
2165316,25-AUG-16,255.57,255.57,AVANSAS,1-90/19-09,"DARIUS KUOLYS"
2165324,25-AUG-16,300,300,AVANSAS,1-90/20-09,"PAULĖ KUZMICKIENĖ"
2165328,25-AUG-16,300,300,AVANSAS,1-90/21-09,"ARTUR LIUDKOVSKI"
2165330,25-AUG-16,300,300,AVANSAS,1-90/22-09,"MYKOLAS MAJAUSKAS"
2165334,25-AUG-16,300,300,AVANSAS,1-90/23-09,"ZBIGNIEV MACIEJEVSKI"
2165340,25-AUG-16,300,300,AVANSAS,1-90/24-09,"AUŠRA MALDEIKIENĖ"
2165345,25-AUG-16,270.69,270.69,AVANSAS,1-90/25-09,"VIDMANTAS MARTIKONIS"
2165448,25-AUG-16,300,300,AVANSAS,1-90/26-09,"VYTAUTAS MITALAS"
2165449,25-AUG-16,300,300,AVANSAS,1-90/27-09,"MIROSLAVAS MONKEVIČIUS"
2165453,25-AUG-16,300,300,AVANSAS,1-90/28-09,"RAFAEL MUKSINOV"
2165458,25-AUG-16,300,300,AVANSAS,1-90/29-09,"KĘSTUTIS NĖNIUS"
2165464,25-AUG-16,300,300,AVANSAS,1-90/30-09,"JUOZAS OLEKAS"
2165469,25-AUG-16,300,300,AVANSAS,1-90/31-09,"VIOLETA PODOLSKAITĖ"
2165474,25-AUG-16,300,300,AVANSAS,1-90/32-09,"ROMUALDA POŠEVECKAJA"
2165514,25-AUG-16,300,300,AVANSAS,1-90/33-09,"GEDIMINAS RUDŽIONIS"
2165534,25-AUG-16,300,300,AVANSAS,1-90/34-09,"GŽEGOŽ SAKSON"
2165540,25-AUG-16,300,300,AVANSAS,1-90/35-09,"ARVYDAS SEKMOKAS"
2165546,25-AUG-16,300,300,AVANSAS,1-90/36-09,"MARIUS SKARUPSKAS"
2165552,25-AUG-16,300,300,AVANSAS,1-90/37-09,"ŠARŪNAS SKUČAS"
2165583,25-AUG-16,300,300,AVANSAS,1-90/38-09,"GEDIMINAS STORPIRŠTIS"
2165594,25-AUG-16,300,300,AVANSAS,1-90/39-09,"LIUTAURAS STOŠKUS"
2165597,25-AUG-16,300,300,AVANSAS,1-90/40-09,"ŽILVINAS ŠILGALIS"
2165605,25-AUG-16,300,300,AVANSAS,1-90/41-09,"EDITA ŠIŠKO"
2165635,25-AUG-16,300,300,AVANSAS,1-90/42-09,"ALDONA ŠVENTICKIENĖ"
2165640,25-AUG-16,300,300,AVANSAS,1-90/43-09,"GEDIMINAS ŠVILPA"
2165645,25-AUG-16,300,300,AVANSAS,1-90/44-09,"EDITA TAMOŠIŪNAITĖ"
2165648,25-AUG-16,133.21,133.21,AVANSAS,1-90/45-09,"SKIRMANTAS TUMELIS"
2165750,25-AUG-16,300,300,AVANSAS,1-90/46-09,"VIDAS URBONAVIČIUS"
2165773,25-AUG-16,300,300,AVANSAS,1-90/47-09,"ARTŪRAS ZUOKAS"
2166101,25-AUG-16,95,95,AVANSAS,24-79/1,"JAROSLAV KAMINSKI"
2166105,25-AUG-16,95,95,AVANSAS,24-79/2,"VIOLETA PODOLSKAITĖ"
2175108,09-AUG-16,0,,AVANSAS,24-79/2.2,"VIOLETA PODOLSKAITĖ"
2175123,25-AUG-16,8.5,8.5,AVANSAS,24-79/2.1,"VIOLETA PODOLSKAITĖ"
