"ID";"SHOWS";"QUESTION_ID";"MEETING_ID";"VOTING_INFO";"VOTING_SHORT";"VOTE_DATE";"VOTE";"SYS_ID"
"87";"Prieš";"28149";"10504907";"S. Burbienė";"S. Burbienė";"2012-01-24 13:17:53";"Prieš";"3"
"88";"Prieš";"28149";"10504907";"B. Cicėnas";"B. Cicėnas";"2012-01-24 13:17:53";"Prieš";"3"
"89";"Prieš";"28149";"10504907";"J. Grigutienė";"J. Grigutienė";"2012-01-24 13:17:53";"Prieš";"3"
"90";"Prieš";"28149";"10504907";"N. Jagelavičienė";"N. Jagelavičienė";"2012-01-24 13:17:53";"Prieš";"3"
"91";"Prieš";"28149";"10504907";"A. Juocevičius";"A. Juocevičius";"2012-01-24 13:17:53";"Prieš";"3"
"92";"Prieš";"28149";"10504907";"I. Kačinskaitė";"I. Kačinskaitė";"2012-01-24 13:17:53";"Prieš";"3"
"93";"Prieš";"28149";"10504907";"V. Kliukienė";"V. Kliukienė";"2012-01-24 13:17:53";"Prieš";"3"
"94";"Prieš";"28149";"10504907";"P. Kuzmickienė";"P. Kuzmickienė";"2012-01-24 13:17:53";"Prieš";"3"
"95";"Prieš";"28149";"10504907";"J. Kvetkovskij";"J. Kvetkovskij";"2012-01-24 13:17:53";"Prieš";"3"
"96";"Prieš";"28149";"10504907";"T. Lavrynovič";"T. Lavrynovič";"2012-01-24 13:17:53";"Prieš";"3"
"97";"Prieš";"28149";"10504907";"A. Liudkovski";"A. Liudkovski";"2012-01-24 13:17:53";"Prieš";"3"
"98";"Prieš";"28149";"10504907";"K. Nėnius";"K. Nėnius";"2012-01-24 13:17:53";"Prieš";"3"
"99";"Prieš";"28149";"10504907";"J. Požela";"J. Požela";"2012-01-24 13:17:53";"Prieš";"3"
"100";"Prieš";"28149";"10504907";"G. Švilpa";"G. Švilpa";"2012-01-24 13:17:53";"Prieš";"3"
"101";"Prieš";"28149";"10504907";"E. Stanišauskas";"E. Stanišauskas";"2012-01-24 13:17:53";"Prieš";"3"
"102";"Prieš";"28149";"10504907";"A. Strelčiūnas";"A. Strelčiūnas";"2012-01-24 13:17:53";"Prieš";"3"
