ID,SHOWS,AVILIO_ID,NR,MEETING_ID,GROUP_ID,DOC_ID,CREATOR_ID,EXPIRE_DATE,APROVED,NOW_ACTIVE,LATER_ACTIVE,NEXT_ACTIVE,NOW_VOTING,QUESTION_HASH,STATUS_DESC
38003,"(NAUJAMIESTIS) Dėl UAB „Golden blood“  2017-11-15 prašymo Nr. A97-23825/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą ROTUNDO JUVELYRAI, LOMBARDAS, JUVELYRINĖ DIRBTUVĖ ant pastato A. Rotundo g. 2.",bf201620cde711e788a399abd293e3ee,10,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38004,"(NAUJAMIESTIS) Dėl UAB „Alegro forte“ 2017-11-14 prašymo Nr. A97-23736/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą ODOS, KAILIŲ STUDIJA „ALEGRO FORTE“ ant pastato Švitrigailos g. 11A.",d7c3ead0cde711e788a399abd293e3ee,11,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38005,"(NAUJAMIESTIS) Dėl VšĮ „Muzikinė erdvė“ 2017-11-15 prašymo Nr. A50-36432/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą ant pastato A. Jakšto g. 9.",f18b09d0cde711e788a399abd293e3ee,12,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38006,"(ŽVĖRYNAS) Dėl UAB „Panorama LT“ 2017-11-16 prašymo Nr. E609-537/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą KRISTI ANA ant pastato Saltoniškių g. 9.",0ecde210cde811e788a399abd293e3ee,13,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38007,"(ŠNIPIŠKĖS) Dėl MB „Mindaugo odontologijos klinika“ 2017-11-13 prašymo Nr. A50-36153/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą ŠYPSENOS KLINIKA ant pastato Šeimyniškių g. 11.",27dfe1e0cde811e788a399abd293e3ee,14,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38008,"(ŠNIPIŠKĖS) Dėl UAB „Jugum“ 2017-11-14 prašymo Nr. E50-20549/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „JUGUM“ PERSONALO ATRANKA, LAIKINASIS ĮDARBINIMAS, DARBAI LIETUVOJE IR UŽSIENYJE, RENGINIAI ĮMONĖMS ant pastato Kalvarijų g. 39.",4251bfd0cde811e788a399abd293e3ee,15,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38009,"(ŠNIPIŠKĖS) Dėl MB „Šventinė mozaika“ 2017-11-14 prašymo Nr. E50-20583/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „ŠVENTINĖ MOZAIKA, TEMINIAI KOSTIUMAI, ŠVENTINĖS DOVANOS ant pastato Rinktinės g. 55.",5bc085a0cde811e788a399abd293e3ee,16,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38010,"(ŠNIPIŠKĖS) Dėl UAB „BPC Travel“ 2017-11-16 prašymo Nr. A609-1254/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „BPC TRAVEL“ KELIONIŲ AGENTŪRA ant pastato Konstitucijos pr. 12.",7594eb10cde811e788a399abd293e3ee,17,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38011,"(ŠNIPIŠKĖS) Dėl UAB „Piano Europa“ 2017-11-14 prašymo Nr. A97-23656/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą ant pastato Konstitucijos pr. 7A.",a645d2b0cde811e788a399abd293e3ee,18,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38012,"(ŠNIPIŠKĖS) Dėl UAB „Krinona“ 2017-11-14 prašymo Nr. A609-1250/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą CASCADA PROFESIONALAMS ant pastato Upės g. 9.",c126ed30cde811e788a399abd293e3ee,19,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38013,"(ŠNIPIŠKĖS) Dėl UAB „Džamina“ 2017-11-14 prašymo Nr. A609-1247/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą HESBURGER ant pastato Geležinio Vilko g. 37A.",5d4163d0cde911e788a399abd293e3ee,20,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38014,"(ŽIRMŪNAI) Dėl UAB „Volonta“ 2017-11-13 prašymo Nr. E50-20455/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „VOLONTA“ DAŽŲ SALONAS, STATYBINĖS MEDŽIAGOS ant pastato Kalvarijų g. 125.",74d66090cde911e788a399abd293e3ee,21,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38015,"(ŽIRMŪNAI) Dėl UAB „Burokėlis ir krapas“  2017-11-17 prašymo Nr. E609-539/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „BROOKLYN BROTHERS“ ant pastato Verkių g. 29.",93f37710cde911e788a399abd293e3ee,22,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38016,"(ANTAKALNIS) Dėl UAB „Saulėtekio klinika“ 2017-11-13 prašymo Nr.E609-528/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą SAULĖTEKIO KLINIKA ant pastato Antakalnio g. 72.",ad93d430cde911e788a399abd293e3ee,23,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38017,"(ANTAKALNIS) Dėl Genės Grigaliūnienės 2017-11-10 prašymo Nr. A609-1242/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą  PIGŪS DRABUŽIAI VISIEMS ant pastato Antakalnio g. 84.",c5fb3c20cde911e788a399abd293e3ee,24,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38018,"(VERKIAI) Dėl AAS „BTA Baltic Insurance Company“ 2017-11-16 prašymo Nr. A97-23972/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą BTA ant pastato Jeruzalės g. 4.",dee71650cde911e788a399abd293e3ee,25,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
